Feature 1,Feature 2,Label
1.6308181620575564,1.7606208224240736,0
3.099659595887113,2.6552637307225977,0
2.640131526097592,0.3830439556891656,0
1.9756738756010643,1.2619690907943113,0
2.2799245990432384,1.9018496103570421,0
2.910178908092592,2.317218215191302,0
2.786327962108976,1.533580903264057,0
1.0555537440817497,1.5899503067974514,0
1.9829795861385595,2.379151735555082,0
4.259308950690852,1.9577428483393573,0
1.044054999507223,1.6540182243006136,0
1.5364040253539057,2.4814814737734623,0
0.4592029855553752,2.0632619942003316,0
2.1565065379653756,2.232181036200276,0
1.4026839310346373,1.762078270263993,0
0.5759390910174684,1.5066801166378059,0
1.4571385239832821,2.4160500462614256,0
0.8438175681780873,2.781198101709993,0
3.494484544491369,-0.06998502501353254,0
2.426258730778101,2.6769080350302454,0
1.362562974447771,1.6027281856712023,0
1.8671194224130443,1.7022091205982717,0
1.6909870309528778,0.3239961936700233,0
3.15233156478312,3.0796185920368213,0
1.186635740795797,0.533575672197486,0
2.5210648764527583,1.4242120301869339,0
2.1419531633207796,1.6806715828549048,0
2.6915387510701865,2.694749143656006,0
1.2744026215364157,0.6166360446049446,0
0.4170616026649181,2.610379379107205,0
0.8111407422159711,1.4931836457013126,0
1.4036859615494919,1.9474327037304537,0
0.06372019415349306,2.1887785967938287,0
2.5238910238342056,2.0884220870446613,0
1.6891138283015283,2.0974001662687836,0
2.39904634564013,-0.7725927564266502,0
3.955912308250694,2.3900933226879264,0
1.34759141761298,1.609046624812399,0
2.4937417773491886,1.8838960609656334,0
-0.030684467781494362,4.064492861359319,0
1.8894593427675275,3.0201727117157997,0
1.307950152215609,3.536377054245798,0
2.2863436888922797,2.6088438344754508,0
0.9547466338530453,3.211145289682701,0
2.6898181645347883,3.3018462295649984,0
1.371912440358421,1.5189728815392123,0
4.303916697683942,0.9399841772784527,0
1.8640502993216792,3.1368913626026953,0
2.0977249677148557,2.5829536797532935,0
1.6005509707371248,2.370055887847519,0
0.6934731482646834,3.6581306796181883,0
1.8818359548714303,1.3198217960031497,0
2.6663830820319143,1.5392802126114467,0
0.6657415285972466,0.6532824942024447,0
2.6937731526901327,1.8404265618537332,0
1.8662984403315608,3.0777438059762625,0
0.8731741912432565,1.2693222471351753,0
1.6151201908187245,2.094351589317074,0
1.9578285487094211,1.7131128076100923,0
1.9383735979043526,1.8926947237088254,0
1.2803956114482071,1.1870070114459228,0
2.2745163577239396,1.109084917004472,0
0.8426447408091464,1.6877077488743066,0
1.8423329838361842,4.256723497298209,0
1.2952997241437663,2.9432607249694946,0
2.747188334204632,0.8110550447962639,0
2.7732529774025996,0.8161193598066823,0
-0.6591722379967409,2.606319524359381,0
0.24410941656228058,2.450934461805915,0
1.3159891022627834,3.659550796189872,0
3.0685093993160093,1.5466141961486124,0
